Date,Open,High,Low,Close,Adj Close,Volume
2019-12-26,163.699997,164.229996,163.630005,164.229996,161.357681,2515000
2019-12-27,164.610001,164.679993,163.800003,164.080002,161.210297,2356700
2019-12-30,164.300003,164.380005,162.910004,163.190002,160.335861,4503500
2019-12-31,163.000000,163.759995,162.720001,163.619995,160.758331,3262400
2020-01-02,164.679993,164.979996,163.779999,164.979996,162.094574,3291100
2020-01-03,163.289993,164.470001,163.009995,163.929993,161.062912,3625400
2020-01-06,162.919998,164.520004,162.830002,164.490005,161.613129,6813800
2020-01-07,164.270004,164.460007,163.779999,164.100006,161.229965,2498400
2020-01-08,164.199997,165.550003,164.039993,164.910004,162.025787,4244800
2020-01-09,165.809998,165.979996,165.360001,165.940002,163.037781,2216900
2020-01-10,166.259995,166.300003,165.199997,165.460007,162.566177,4023000
2020-01-13,166.000000,166.630005,165.520004,166.589996,163.676392,3997100
2020-01-14,166.550003,167.119995,166.169998,166.500000,163.587967,3062000
2020-01-15,166.500000,167.399994,166.419998,166.910004,163.990814,2479200
2020-01-16,167.710007,168.369995,167.610001,168.339996,165.395798,2205600
2020-01-17,169.009995,169.009995,168.369995,168.759995,165.808441,2272000
2020-01-21,168.399994,168.850006,168.169998,168.399994,165.454742,3174200
2020-01-22,168.929993,169.320007,168.350006,168.500000,165.552994,2113600
2020-01-23,168.110001,168.770004,167.389999,168.690002,165.739685,2370000
2020-01-24,169.089996,169.089996,166.330002,167.089996,164.167648,3292500
2020-01-27,164.229996,165.320007,163.839996,164.580002,161.701569,4692800
2020-01-28,165.330002,166.669998,165.059998,166.169998,163.263748,4010700
2020-01-29,166.960007,166.990005,165.919998,166.059998,163.155655,1751700
2020-01-30,165.000000,166.610001,164.470001,166.460007,163.548691,2835900
2020-01-31,166.160004,166.210007,163.039993,163.520004,160.660110,4525300
2020-02-03,164.350006,165.830002,164.309998,164.960007,162.074921,2783900
2020-02-04,166.970001,168.020004,166.809998,167.559998,164.629425,2732700
